FILE,LAT,LON,ELEC_DEN
1,-89.9,-179.5,8.279293060302734
1,-89.4,-178.5,9.479605992635092
1,-88.9,-177.5,9.619176228841146
1,-88.4,-176.5,10.282623291015625
1,-87.9,-175.5,10.920467029918324
1,-87.4,-174.5,11.559115600585937
1,-86.9,-173.5,10.893467712402344
1,-86.4,-172.5,9.2792724609375
1,-85.9,-171.5,10.438352584838867
1,-85.4,-170.5,9.403194427490234
1,-84.9,-169.5,11.59503173828125
1,-84.4,-168.5,12.340522766113281
1,-83.9,-167.5,13.633267720540365
1,-83.4,-166.5,12.640579223632812
1,-82.9,-165.5,11.5128755569458
1,-82.4,-164.5,10.877760314941407
1,-81.9,-163.5,10.629493713378906
1,-81.4,-162.5,10.322553634643555
1,-80.9,-161.5,10.0129025777181
1,-80.4,-160.5,9.894391377766928
1,-79.9,-159.5,10.123648961385092
1,-79.4,-158.5,12.727707862854004
1,-78.9,-157.5,14.931976318359375
1,-78.4,-156.5,15.608988952636718
1,-77.9,-155.5,16.126111117276277
1,-77.4,-154.5,16.512256969105113
1,-76.9,-153.5,17.814727783203125
1,-76.4,-152.5,17.843617030552455
1,-75.9,-151.5,17.054706573486328
1,-75.4,-150.5,17.23916015625
1,-74.9,-149.5,17.497948964436848
1,-74.4,-148.5,17.011455535888672
1,-3.4000015,-6.5,23.96971740722656
1,-2.9000015,-5.5,23.6876958211263
1,-2.4000015,-4.5,24.047079467773436
1,-1.9000015,-3.5,23.931939261300222
1,-1.4000015,-2.5,21.274673461914062
1,-0.9000015,-1.5,20.962536898526277
1,-0.40000153,-0.5,18.74085150824653
1,0.099998474,0.5,18.223410866477273
1,0.5999985,1.5,17.63578643798828
1,1.0999985,2.5,16.161961146763392
1,1.5999985,3.5,15.465306282043457
1,2.0999985,4.5,15.081502914428711
1,3.5999985,7.5,22.070832824707033
1,4.0999985,8.5,22.089937210083008
1,4.5999985,9.5,21.89952697753906
1,5.0999985,10.5,21.554827372233074
1,5.5999985,11.5,21.573842366536457
1,6.0999985,12.5,19.29795282537287
1,6.5999985,13.5,17.42021942138672
1,7.0999985,14.5,16.056137084960938
1,7.5999985,15.5,15.015364329020182
1,8.099998,16.5,14.608933766682943
1,8.599998,17.5,13.949839274088541
1,9.099998,18.5,13.451919555664062
1,9.599998,19.5,12.460713704427084
1,10.099998,20.5,11.965726216634115
1,10.599998,21.5,12.014719645182291
1,11.099998,22.5,13.103792463030134
1,11.599998,23.5,13.654451370239258
1,12.099998,24.5,13.672094557020399
1,12.599998,25.5,13.69133080376519
1,13.099998,26.5,14.899495442708334
1,13.599998,27.5,14.97729034423828
1,14.099998,28.5,13.5133320201527
1,14.599998,29.5,12.965206146240234
1,15.099998,30.5,12.506451924641928
1,15.599998,31.5,12.192185974121093
1,16.099998,32.5,11.542558670043945
1,16.599998,33.5,12.36933708190918
1,17.099998,34.5,15.08107884724935
1,17.599998,35.5,14.858932495117188
1,18.099998,36.5,13.633809407552084
1,18.599998,37.5,12.862016042073568
1,19.099998,38.5,12.511460622151693
1,19.599998,39.5,12.345101674397787
1,20.099998,40.5,12.309446970621744
1,20.599998,41.5,12.466344197591146
1,21.099998,42.5,12.460250854492188
1,21.599998,43.5,12.645381927490234
1,22.099998,44.5,12.74609375
1,22.599998,45.5,13.020327758789062
1,23.099998,46.5,13.433934529622396
1,23.599998,47.5,13.337083435058593
1,24.099998,48.5,13.333556038992745
1,24.599998,49.5,13.260111808776855
1,25.099998,50.5,12.668188095092773
1,29.599998,59.5,17.664594014485676
1,30.099998,60.5,17.55562744140625
1,30.599998,61.5,17.45677312215169
1,31.099998,62.5,17.62325096130371
1,31.599998,63.5,17.652196884155273
1,40.1,80.5,10.46603012084961
1,40.6,81.5,10.675814628601074
1,41.1,82.5,10.897483825683594
1,41.6,83.5,10.897483825683594
1,42.1,84.5,10.390708923339844
1,42.6,85.5,10.391276550292968
1,43.1,86.5,10.591833932059151
1,43.6,87.5,10.283528900146484
1,44.1,88.5,10.084331512451172
1,46.1,92.5,8.385501861572266
1,46.6,93.5,8.06100845336914
1,53.1,106.5,5.147361755371094
1,53.6,107.5,4.800516128540039
1,54.1,108.5,4.563901901245117
1,54.6,109.5,4.235898017883301
1,55.1,110.5,3.9404213428497314
1,55.6,111.5,3.7828687032063804
1,56.1,112.5,3.502940813700358
1,56.6,113.5,3.40204652150472
1,57.1,114.5,3.298689842224121
1,57.6,115.5,3.044823169708252
1,58.1,116.5,3.441065788269043
1,58.6,117.5,3.3847951889038086
1,59.1,118.5,3.3295281728108725
1,59.6,119.5,3.245316982269287
1,60.1,120.5,3.103572368621826
1,60.6,121.5,3.0850582122802734
1,61.1,122.5,3.0542691548665366
1,61.6,123.5,2.800734202067057
1,62.1,124.5,2.9077720642089844
1,62.6,125.5,2.4465830326080322
1,63.1,126.5,3.5801264444986978
1,63.6,127.5,3.5220573425292967
1,64.1,128.5,3.356152125767299
1,64.6,129.5,3.531087701970881
1,65.1,130.5,3.9209788929332388
1,65.6,131.5,4.563027191162109
1,66.1,132.5,4.534849166870117
1,66.6,133.5,4.27268123626709
1,67.1,134.5,3.983887036641439
1,67.6,135.5,3.5768588383992515
1,68.1,136.5,3.184445381164551
1,68.6,137.5,3.0793069203694663
1,69.1,138.5,3.0067723592122397
1,69.6,139.5,3.253742218017578
1,70.1,140.5,3.2065388361612954
1,70.6,141.5,3.2236544291178384
1,71.1,142.5,3.120016098022461
1,71.6,143.5,3.2976080576578775
1,72.1,144.5,3.2488218943277993
1,72.6,145.5,3.1995890935262046
1,73.1,146.5,3.1422996520996094
1,73.6,147.5,2.92242431640625
1,74.1,148.5,2.8222500483194985
1,74.6,149.5,2.884148279825846
1,75.1,150.5,2.612952391306559
1,75.6,151.5,2.678420066833496
1,76.1,152.5,2.704793612162272
1,76.6,153.5,2.7315524419148765
1,77.1,154.5,2.686924934387207
1,77.6,155.5,2.7701822916666665
1,78.1,156.5,2.9383678436279297
1,78.6,157.5,3.0588165918986
1,79.1,158.5,3.0565369923909507
1,79.6,159.5,3.045862833658854
1,80.1,160.5,3.120555559794108
1,80.6,161.5,3.396153767903646
1,81.1,162.5,3.5300079981486
1,81.6,163.5,3.612377484639486
1,82.1,164.5,3.8097359339396157
1,82.6,165.5,3.9294795989990234
1,83.1,166.5,4.28626823425293
1,83.6,167.5,4.394533475240071
1,84.1,168.5,4.344468752543132
1,84.6,169.5,4.579642295837402
1,85.1,170.5,4.450782775878906
1,85.6,171.5,4.213614781697591
1,86.1,172.5,4.082494735717773
1,86.6,173.5,3.7551197475857205
1,87.1,174.5,4.404798984527588
1,87.6,175.5,2.6604886054992676
1,88.1,176.5,3.69805645942688
1,88.6,177.5,3.836714267730713
1,89.1,178.5,3.411252975463867
1,89.6,179.5,3.1691317558288574
2,-89.9,-179.5,8.932819366455078
2,-89.4,-178.5,8.468503952026367
2,-88.9,-177.5,8.445135636763139
2,-88.4,-176.5,8.901829401652018
2,-87.9,-175.5,8.502117503773082
2,-87.4,-174.5,8.462828202681107
2,-86.9,-173.5,8.562908172607422
2,-86.4,-172.5,9.435368220011393
2,-85.9,-171.5,9.065638860066732
2,-85.4,-170.5,9.014810562133789
2,-84.9,-169.5,9.183799743652344
2,-84.4,-168.5,8.675568580627441
2,-83.9,-167.5,7.656898021697998
2,-83.4,-166.5,6.542653560638428
2,-82.9,-165.5,9.107820684259588
2,-82.4,-164.5,8.481103376908736
2,-81.9,-163.5,8.791720303622158
2,-81.4,-162.5,11.410755504261363
2,-80.9,-161.5,11.984109242757162
2,-80.4,-160.5,12.563941955566406
2,-79.9,-159.5,11.49233373006185
2,-79.4,-158.5,11.921927134195963
2,-78.9,-157.5,11.279792785644531
2,-78.4,-156.5,10.806790669759115
2,-77.9,-155.5,10.599845886230469
2,-77.4,-154.5,10.626312255859375
2,-76.9,-153.5,11.468852650035512
2,-76.4,-152.5,11.771107482910157
2,-75.9,-151.5,12.096140081232244
2,-75.4,-150.5,12.929097856794085
2,-74.9,-149.5,15.122973442077637
2,-74.4,-148.5,16.37932840983073
2,-73.9,-147.5,16.742029825846355
2,-73.4,-146.5,17.640195846557617
2,-72.9,-145.5,18.61376190185547
2,-72.4,-144.5,18.96346664428711
2,-71.9,-143.5,19.29803466796875
2,-71.4,-142.5,19.29803466796875
2,-70.9,-141.5,19.634204864501953
2,-70.4,-140.5,20.227907180786133
2,-3.9000015,-7.5,16.133283615112305
2,-3.4000015,-6.5,15.607754298618861
2,-2.9000015,-5.5,13.82454776763916
2,-2.4000015,-4.5,12.04333782196045
2,-1.4000015,-2.5,9.617873509724935
2,-0.9000015,-1.5,9.17348861694336
2,-0.40000153,-0.5,8.638867696126303
2,0.099998474,0.5,7.899669647216797
2,0.5999985,1.5,6.390486399332683
2,1.0999985,2.5,4.916082763671875
2,1.5999985,3.5,5.094129180908203
2,2.0999985,4.5,5.338417477077908
2,2.5999985,5.5,6.596357133653429
2,3.0999985,6.5,8.910393524169923
2,3.5999985,7.5,10.988000349564986
2,4.0999985,8.5,12.533618927001953
2,4.5999985,9.5,12.447410583496094
2,5.0999985,10.5,12.076410929361979
2,5.5999985,11.5,8.944843292236328
2,6.0999985,12.5,7.549097061157227
2,6.5999985,13.5,7.553439458211263
2,7.0999985,14.5,6.750136693318685
2,7.5999985,15.5,5.999587376912435
2,8.099998,16.5,5.63444455464681
2,8.599998,17.5,5.123040517171224
2,9.099998,18.5,4.487534523010254
2,9.599998,19.5,3.949847857157389
2,10.099998,20.5,3.5652650197347007
2,10.599998,21.5,3.3394219080607095
2,11.099998,22.5,2.8981682459513345
2,11.599998,23.5,3.5035880406697593
2,12.099998,24.5,3.3795153299967446
2,12.599998,25.5,3.2466519673665366
2,13.099998,26.5,3.300328572591146
2,13.599998,27.5,3.482359452681108
2,14.099998,28.5,3.5598865855823862
2,14.599998,29.5,2.9761616388956704
2,15.099998,30.5,3.2437941233317056
2,15.599998,31.5,3.1282598707411022
2,16.099998,32.5,3.0749668545193143
2,16.599998,33.5,3.5645179748535156
2,17.099998,34.5,5.285397529602051
2,17.599998,35.5,5.784290949503581
2,18.099998,36.5,5.530925750732422
2,18.599998,37.5,5.250707944234212
2,19.099998,38.5,4.841084798177083
2,19.599998,39.5,4.291160901387532
2,20.099998,40.5,3.5688021977742515
2,20.599998,41.5,3.242859204610189
2,21.099998,42.5,3.2139501571655273
2,21.599998,43.5,3.3008626302083335
2,22.099998,44.5,3.3029934565226235
2,22.599998,45.5,3.300669034322103
2,23.099998,46.5,3.0900785446166994
2,23.599998,47.5,2.8582537174224854
2,24.099998,48.5,2.850171661376953
2,24.599998,49.5,2.9785634994506838
2,25.099998,50.5,3.1026538213094077
2,28.099998,56.5,7.006597995758057
2,28.599998,57.5,6.805442810058594
2,29.099998,58.5,7.006597995758057
2,40.6,81.5,5.403633117675781
2,41.1,82.5,5.403633117675781
2,47.1,94.5,2.0114119052886963
2,47.6,95.5,2.314458211263021
2,48.1,96.5,2.412412166595459
2,48.6,97.5,2.412412166595459
2,49.1,98.5,2.481563091278076
2,58.1,116.5,1.2491037845611572
2,58.6,117.5,1.5101685523986816
2,59.1,118.5,1.5860011577606201
2,59.6,119.5,1.471854019165039
2,60.1,120.5,2.0375783443450928
2,60.6,121.5,2.103275775909424
2,61.1,122.5,2.2610278810773576
2,61.6,123.5,2.175525665283203
2,62.1,124.5,2.1788440704345704
2,62.6,125.5,2.225767135620117
2,63.1,126.5,2.5616841997419084
2,63.6,127.5,2.740147272745768
2,64.1,128.5,3.1758553641183034
2,64.6,129.5,3.0913426876068115
2,65.1,130.5,2.3715952237447104
2,65.6,131.5,1.896204948425293
2,66.1,132.5,1.6507940292358398
2,66.6,133.5,1.9095595677693684
2,67.1,134.5,1.8421185811360676
2,67.6,135.5,2.239362875620524
2,68.1,136.5,2.5427881876627603
2,68.6,137.5,2.441781997680664
2,69.1,138.5,2.5287458101908364
2,69.6,139.5,2.1598695119222007
2,70.1,140.5,2.167876879374186
2,70.6,141.5,2.418489615122477
2,71.1,142.5,2.4210421244303384
2,71.6,143.5,1.8810118039449055
2,72.1,144.5,1.3112723032633464
2,72.6,145.5,0.09961497783660889
2,73.1,146.5,-0.6785391171773275
2,73.6,147.5,-0.41937486330668133
2,74.1,148.5,-0.36950500806172687
2,74.6,149.5,-0.7325913111368815
2,75.1,150.5,-1.012654463450114
2,75.6,151.5,-0.7220805486043295
2,76.1,152.5,-0.7253769238789877
2,76.6,153.5,-0.8023043473561605
2,77.1,154.5,-0.6079240640004476
2,77.6,155.5,-0.7301553090413412
2,78.1,156.5,-2.7926155726114907
2,78.6,157.5,-4.343363126118978
2,79.1,158.5,-6.113258361816406
2,79.6,159.5,-8.232522328694662
2,80.1,160.5,-7.160055160522461
2,80.6,161.5,-7.20596186319987
2,81.1,162.5,-4.317198117574056
2,81.6,163.5,-3.6842082341512046
2,82.1,164.5,-1.638014793395996
2,82.6,165.5,0.3256850441296895
2,83.1,166.5,1.3785139719645183
2,83.6,167.5,1.3721324602762859
2,84.1,168.5,1.0524168809254963
2,84.6,169.5,0.8114082018534342
2,85.1,170.5,0.6820437908172607
2,85.6,171.5,0.6271167596181234
2,86.1,172.5,0.7649372418721517
2,86.6,173.5,0.9373136000199751
2,87.1,174.5,1.2058002683851454
2,87.6,175.5,1.4647235870361328
2,88.1,176.5,1.3501898447672527
2,88.6,177.5,1.413224697113037
2,89.1,178.5,1.643952210744222
2,89.6,179.5,1.901479721069336
